RespondentID,Q1_Emirate,Q2_Age Group,Q3_Gender,Q4_Monthly DisposableI ncome for Perfumes,Q5_Occupation,Q6_Shopping Frequency,Q7_Recent Change,Q8_Price Importance,Q9_Seek Discounts,Q10_Quality Influence,Q11_Pay More For Quality,Q12_Ingredient Attention,Q13_Drawn To Specific Ingredients,Q14_Social Recommendation Effect,Q15_Align With Expectations,Q16_Brand Image Importance,Q17_Prefer Trusted Brands,Q18_Convenience Importance,Q19_Prefer Online Shopping,Q20_Shopping Style Persona Anchor,Q21_Reaction To Income Increase,Q22_Reaction To New Launches,Q23_Influencer Purchase Likelihood,Q24_Most Important Factor,Q25_Products Or Services Wanted,Q26_Additional Feedback
833,Dubai,26-30,Prefer not to say,800 Dhs and above,Education,Every 3 months,No significant change in income,Not important at all,Never,Moderately,Neutral,Always,Sometimes,Completely,Always,Not important at all,Often,Not important at all,Never,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Workshops on layering scents.,More samples with purchases.
834,Dubai,26-30,Female,800 Dhs and above,Marketing / Media,Every 3 months,A sudden increase in income,Neutral,Often,Very much,Neutral,Rarely,Always,Very much,Always,Somewhat important,Rarely,Very important,Always,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Authentic brands and easy returns.,Workshops on layering scents.,More samples with purchases.
835,Abu Dhabi,26-30,Female,400–800 Dhs,Health,Monthly,A decrease in disposable income,Extremely important,Often,Slightly,"No, not often",Often,Always,Moderately,Sometimes,Extremely important,Sometimes,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,5,Exclusive releases and tester availability.,Arabic oud blends with lighter sillage.,Offer student and family bundles.
836,Ajman,26-30,Female,200-400 Dhs,General Employee,Monthly,A change in employment status,Neutral,Sometimes,Very much,Neutral,Rarely,Sometimes,Very much,Sometimes,Very important,Sometimes,Very important,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Offer student and family bundles.
837,Abu Dhabi,21-25,Female,Less than 200 Dhs,Education,In Eids and seasons,A change in employment status,Very important,Often,Moderately,"Yes, always",Always,Often,Slightly,Sometimes,Not important at all,Always,Somewhat important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Fast checkout and loyalty rewards.,More niche fragrance houses.,Offer student and family bundles.
838,Ras Al-Khaimah,Under 21,Male,Less than 200 Dhs,Unemployed,Monthly,No significant change in income,Extremely important,Often,Completely,"Yes, always",Sometimes,Sometimes,Very much,Sometimes,Not important at all,Rarely,Neutral,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,5,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
839,Dubai,26-30,Female,400–800 Dhs,Law,Monthly,A change in employment status,Neutral,Sometimes,Completely,"No, not often",Sometimes,Sometimes,Very much,Sometimes,Not important at all,Sometimes,Very important,Sometimes,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Improve stock updates online.
840,Abu Dhabi,36–40,Male,800 Dhs and above,Education,In Eids and seasons,A change in employment status,Somewhat important,Rarely,Slightly,"Yes, sometimes",Often,Rarely,Moderately,Sometimes,Extremely important,Sometimes,Extremely important,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,3,Convenient location and parking.,More niche fragrance houses.,More samples with purchases.
841,Dubai,Under 21,Male,Less than 200 Dhs,Engineering,In Eids and seasons,A sudden increase in income,Not important at all,Sometimes,Slightly,Neutral,Always,Sometimes,Moderately,Sometimes,Neutral,Always,Somewhat important,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Exclusive releases and tester availability.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
842,Dubai,36–40,Male,Less than 200 Dhs,Self-employed,Monthly,A sudden increase in income,Neutral,Sometimes,Completely,Neutral,Rarely,Often,Completely,Sometimes,Somewhat important,Never,Somewhat important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,More samples with purchases.
843,Dubai,31-35,Female,800 Dhs and above,Self-employed,In Eids and seasons,A sudden increase in income,Neutral,Never,Slightly,"Yes, sometimes",Always,Often,Slightly,Sometimes,Somewhat important,Sometimes,Somewhat important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Exclusive releases and tester availability.,Personalized engraving for gifts.,Improve stock updates online.
844,Dubai,Over 50,Male,400–800 Dhs,Customer Service and Sales,Every 6 months,A sudden increase in income,Very important,Sometimes,Slightly,"Yes, sometimes",Often,Rarely,Not at all,Sometimes,Somewhat important,Sometimes,Very important,Sometimes,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)",I save most of my income and spend cautiously.,I wait for reviews before making a purchase.,2,Authentic brands and easy returns.,Workshops on layering scents.,Offer student and family bundles.
845,Dubai,36–40,Female,800 Dhs and above,Health,Every 3 months,A change in employment status,Somewhat important,Always,Slightly,"Yes, sometimes",Never,Often,Moderately,Sometimes,Very important,Often,Not important at all,Never,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Improve stock updates online.
846,Abu Dhabi,31-35,Female,800 Dhs and above,General Employee,Every 3 months,A change in employment status,Neutral,Rarely,Very much,"Yes, always",Sometimes,Often,Moderately,Sometimes,Neutral,Always,Somewhat important,Always,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,4,Convenient location and parking.,More niche fragrance houses.,Offer student and family bundles.
847,Ras Al-Khaimah,31-35,Male,Less than 200 Dhs,Education,Monthly,No significant change in income,Neutral,Sometimes,Completely,"No, never",Sometimes,Sometimes,Completely,Never,Very important,Always,Somewhat important,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
848,Sharjah,31-35,Female,400–800 Dhs,Self-employed,In Eids and seasons,A change in employment status,Not important at all,Always,Very much,"No, not often",Sometimes,Always,Not at all,Sometimes,Extremely important,Often,Very important,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,2,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Extend loyalty tiers with birthday perks.
849,Abu Dhabi,Under 21,Male,800 Dhs and above,Marketing / Media,Weekly,A decrease in disposable income,Very important,Often,Slightly,Neutral,Never,Often,Slightly,Rarely,Extremely important,Never,Somewhat important,Always,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I get excited and want to try them immediately.,5,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Improve stock updates online.
850,Dubai,26-30,Male,200-400 Dhs,Unemployed,Every 6 months,A change in employment status,Neutral,Rarely,Completely,Neutral,Sometimes,Sometimes,Moderately,Often,Neutral,Always,Not important at all,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Product variety and staff knowledge.,More niche fragrance houses.,Extend loyalty tiers with birthday perks.
851,Ajman,41-50,Female,200-400 Dhs,General Employee,Every 6 months,A sudden increase in income,Not important at all,Rarely,Not at all,"Yes, always",Sometimes,Rarely,Moderately,Sometimes,Neutral,Often,Very important,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,2,Convenient location and parking.,More niche fragrance houses.,Add WhatsApp virtual consultations.
852,Dubai,31-35,Male,800 Dhs and above,Engineering,Monthly,No significant change in income,Extremely important,Sometimes,Very much,Neutral,Always,Often,Not at all,Sometimes,Extremely important,Sometimes,Neutral,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Convenient location and parking.,Workshops on layering scents.,More samples with purchases.
853,Dubai,26-30,Female,Less than 200 Dhs,Retired,Every 6 months,A decrease in disposable income,Extremely important,Sometimes,Completely,"Yes, always",Rarely,Rarely,Completely,Sometimes,Extremely important,Often,Very important,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,3,Fast checkout and loyalty rewards.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
854,Abu Dhabi,41-50,Male,400–800 Dhs,Education,Monthly,A sudden increase in income,Not important at all,Always,Very much,"Yes, sometimes",Sometimes,Sometimes,Not at all,Sometimes,Not important at all,Never,Not important at all,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Online-to-store pickup and fair pricing.,More niche fragrance houses.,Longer return window for unopened items.
855,Dubai,26-30,Male,200-400 Dhs,Engineering,Weekly,A sudden increase in income,Somewhat important,Always,Moderately,"No, not often",Rarely,Rarely,Not at all,Rarely,Neutral,Sometimes,Very important,Always,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,2,Online-to-store pickup and fair pricing.,Workshops on layering scents.,More samples with purchases.
856,Dubai,26-30,Male,200-400 Dhs,Engineering,Every 3 months,A sudden increase in income,Not important at all,Always,Not at all,"Yes, sometimes",Often,Often,Slightly,Never,Not important at all,Often,Neutral,Always,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,4,Convenient location and parking.,Arabic oud blends with lighter sillage.,More samples with purchases.
857,Dubai,36–40,Female,800 Dhs and above,General Employee,Yearly,No significant change in income,Extremely important,Rarely,Slightly,Neutral,Rarely,Sometimes,Slightly,Often,Somewhat important,Sometimes,Very important,Rarely,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
858,Dubai,21-25,Female,Less than 200 Dhs,General Employee,Every 3 months,No significant change in income,Very important,Always,Moderately,"Yes, always",Often,Sometimes,Not at all,Never,Very important,Often,Neutral,Always,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,4,Online-to-store pickup and fair pricing.,Travel-size discovery sets.,Offer student and family bundles.
859,Dubai,31-35,Male,Less than 200 Dhs,Customer Service and Sales,Monthly,No significant change in income,Neutral,Always,Moderately,"Yes, sometimes",Always,Sometimes,Moderately,Rarely,Somewhat important,Often,Extremely important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Convenient location and parking.,Workshops on layering scents.,Improve stock updates online.
860,Sharjah,31-35,Male,200-400 Dhs,General Employee,Every 3 months,A sudden increase in income,Very important,Sometimes,Not at all,Neutral,Sometimes,Rarely,Slightly,Rarely,Neutral,Always,Not important at all,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Authentic brands and easy returns.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
861,Sharjah,Over 50,Female,200-400 Dhs,General Employee,Every 3 months,A decrease in disposable income,Neutral,Always,Very much,"Yes, always",Rarely,Rarely,Slightly,Sometimes,Extremely important,Never,Somewhat important,Rarely,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,4,Exclusive releases and tester availability.,More niche fragrance houses.,Longer return window for unopened items.
862,Dubai,31-35,Male,400–800 Dhs,Self-employed,Every 6 months,No significant change in income,Neutral,Sometimes,Slightly,Neutral,Often,Often,Very much,Often,Somewhat important,Rarely,Extremely important,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
863,Dubai,36–40,Female,200-400 Dhs,Senior & Managerial positions,Every 6 months,A sudden increase in income,Neutral,Sometimes,Not at all,"Yes, sometimes",Often,Often,Not at all,Rarely,Extremely important,Always,Very important,Rarely,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,4,Authentic brands and easy returns.,Arabic oud blends with lighter sillage.,Longer return window for unopened items.
864,Dubai,36–40,Female,400–800 Dhs,Unemployed,Monthly,No significant change in income,Extremely important,Always,Moderately,"No, not often",Rarely,Sometimes,Very much,Sometimes,Extremely important,Always,Extremely important,Always,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Convenient location and parking.,Personalized engraving for gifts.,Improve stock updates online.
865,Dubai,26-30,Male,200-400 Dhs,Engineering,Every 3 months,A change in employment status,Neutral,Sometimes,Slightly,"Yes, sometimes",Rarely,Often,Not at all,Often,Somewhat important,Rarely,Neutral,Often,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,2,Exclusive releases and tester availability.,Workshops on layering scents.,Offer student and family bundles.
866,Sharjah,Under 21,Male,800 Dhs and above,Senior & Managerial positions,Every 3 months,No significant change in income,Somewhat important,Often,Very much,"Yes, always",Sometimes,Often,Very much,Often,Extremely important,Always,Extremely important,Often,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Fast checkout and loyalty rewards.,Travel-size discovery sets.,Add WhatsApp virtual consultations.
867,Sharjah,Over 50,Male,800 Dhs and above,Customer Service and Sales,In Eids and seasons,No significant change in income,Neutral,Often,Completely,Neutral,Never,Always,Completely,Sometimes,Not important at all,Sometimes,Very important,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,2,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
868,Sharjah,Over 50,Prefer not to say,Less than 200 Dhs,Marketing / Media,Monthly,A decrease in disposable income,Very important,Often,Slightly,"Yes, sometimes",Sometimes,Sometimes,Not at all,Rarely,Not important at all,Often,Extremely important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Online-to-store pickup and fair pricing.,Workshops on layering scents.,Improve stock updates online.
869,Dubai,26-30,Female,400–800 Dhs,General Employee,Monthly,No significant change in income,Neutral,Rarely,Slightly,"Yes, always",Sometimes,Sometimes,Completely,Sometimes,Extremely important,Sometimes,Very important,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,5,Product variety and staff knowledge.,Travel-size discovery sets.,Extend loyalty tiers with birthday perks.
870,Abu Dhabi,31-35,Male,200-400 Dhs,Engineering,Weekly,A decrease in disposable income,Neutral,Often,Slightly,"No, never",Often,Sometimes,Slightly,Always,Very important,Always,Very important,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,4,Product variety and staff knowledge.,Personalized engraving for gifts.,Improve stock updates online.
871,Abu Dhabi,26-30,Female,400–800 Dhs,Unemployed,Monthly,No significant change in income,Somewhat important,Often,Not at all,"Yes, sometimes",Always,Rarely,Not at all,Often,Not important at all,Never,Very important,Sometimes,I am always looking for the best deals and prioritize affordability in my purchases. (Value Hunters),I save most of my income and spend cautiously.,I rarely pay attention to new launches.,2,Exclusive releases and tester availability.,More niche fragrance houses.,Offer student and family bundles.
872,Abu Dhabi,36–40,Female,200-400 Dhs,Unemployed,Monthly,A sudden increase in income,Extremely important,Always,Moderately,"Yes, sometimes",Often,Often,Very much,Sometimes,Somewhat important,Rarely,Not important at all,Rarely,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,1,Online-to-store pickup and fair pricing.,Refill options and eco-friendly packaging.,Longer return window for unopened items.
873,Abu Dhabi,31-35,Male,800 Dhs and above,General Employee,Every 3 months,No significant change in income,Not important at all,Rarely,Moderately,"No, never",Never,Always,Moderately,Sometimes,Neutral,Rarely,Not important at all,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,1,Convenient location and parking.,Travel-size discovery sets.,Longer return window for unopened items.
874,Dubai,31-35,Female,400–800 Dhs,Education,In Eids and seasons,A sudden increase in income,Extremely important,Often,Very much,"Yes, sometimes",Sometimes,Often,Moderately,Sometimes,Very important,Sometimes,Not important at all,Sometimes,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Personalized engraving for gifts.,Offer student and family bundles.
875,Dubai,26-30,Male,800 Dhs and above,Customer Service and Sales,Every 6 months,No significant change in income,Somewhat important,Sometimes,Moderately,Neutral,Sometimes,Often,Very much,Sometimes,Somewhat important,Sometimes,Extremely important,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,2,Authentic brands and easy returns.,More niche fragrance houses.,More samples with purchases.
876,Sharjah,26-30,Female,400–800 Dhs,Education,Every 6 months,A sudden increase in income,Neutral,Rarely,Completely,"Yes, sometimes",Never,Always,Very much,Rarely,Neutral,Always,Very important,Often,"I value understated elegance and focus on quality, but I don’t spend as much as I used to. (Sprezzatura)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,4,Exclusive releases and tester availability.,Travel-size discovery sets.,More samples with purchases.
877,Ras Al-Khaimah,21-25,Female,200-400 Dhs,Customer Service and Sales,Monthly,No significant change in income,Somewhat important,Often,Not at all,Neutral,Often,Sometimes,Completely,Often,Not important at all,Always,Not important at all,Sometimes,I buy products mostly based on social or professional obligations and expectations as gifts to people. (Obligati),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Product variety and staff knowledge.,Workshops on layering scents.,More samples with purchases.
878,Abu Dhabi,26-30,Male,Less than 200 Dhs,Engineering,Every 3 months,A decrease in disposable income,Somewhat important,Sometimes,Very much,"Yes, sometimes",Rarely,Sometimes,Moderately,Always,Very important,Always,Not important at all,Sometimes,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I save most of my income and spend cautiously.,I rarely pay attention to new launches.,4,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Add WhatsApp virtual consultations.
879,Dubai,36–40,Female,Less than 200 Dhs,Law,Yearly,No significant change in income,Neutral,Sometimes,Not at all,"No, never",Often,Often,Completely,Sometimes,Not important at all,Always,Not important at all,Sometimes,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,5,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Offer student and family bundles.
880,Abu Dhabi,21-25,Male,400–800 Dhs,Education,Every 3 months,A sudden increase in income,Very important,Never,Moderately,"Yes, always",Sometimes,Often,Completely,Often,Extremely important,Often,Not important at all,Often,I enjoy occasional splurges on high-end products but look for discounts or value. (Aspirational Splurgers),"I spend more on luxury items, including perfumes and beauty products.",I wait for reviews before making a purchase.,4,Convenient location and parking.,More niche fragrance houses.,Improve stock updates online.
881,Dubai,26-30,Male,800 Dhs and above,Retired,Monthly,A change in employment status,Not important at all,Always,Very much,"Yes, always",Always,Never,Slightly,Rarely,Very important,Sometimes,Neutral,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,3,Exclusive releases and tester availability.,More niche fragrance houses.,Offer student and family bundles.
882,Dubai,26-30,Male,Less than 200 Dhs,Self-employed,Monthly,A change in employment status,Not important at all,Sometimes,Not at all,"No, never",Always,Never,Completely,Sometimes,Very important,Rarely,Extremely important,Often,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)",I save most of my income and spend cautiously.,I get excited and want to try them immediately.,3,Authentic brands and easy returns.,Travel-size discovery sets.,Improve stock updates online.
883,Ras Al-Khaimah,31-35,Female,200-400 Dhs,Marketing / Media,Yearly,A sudden increase in income,Neutral,Rarely,Slightly,"Yes, sometimes",Never,Sometimes,Not at all,Always,Extremely important,Often,Neutral,Always,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I rarely pay attention to new launches.,3,Online-to-store pickup and fair pricing.,Arabic oud blends with lighter sillage.,Longer return window for unopened items.
884,Dubai,26-30,Male,800 Dhs and above,Self-employed,Monthly,A change in employment status,Not important at all,Often,Very much,"No, not often",Sometimes,Sometimes,Not at all,Always,Extremely important,Always,Not important at all,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,Travel-size discovery sets.,Offer student and family bundles.
885,Abu Dhabi,36–40,Prefer not to say,800 Dhs and above,Entrepreneur,Monthly,No significant change in income,Extremely important,Sometimes,Very much,"Yes, sometimes",Often,Sometimes,Completely,Often,Neutral,Often,Neutral,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,3,Online-to-store pickup and fair pricing.,Personalized engraving for gifts.,Improve stock updates online.
886,Dubai,31-35,Female,200-400 Dhs,Engineering,Monthly,A sudden increase in income,Neutral,Sometimes,Not at all,"Yes, always",Often,Often,Completely,Never,Neutral,Often,Very important,Sometimes,I prefer trusted brands and products that are familiar and reliable. (Dependables),"I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Exclusive releases and tester availability.,Refill options and eco-friendly packaging.,Extend loyalty tiers with birthday perks.
887,Dubai,31-35,Male,400–800 Dhs,Engineering,Every 3 months,A change in employment status,Neutral,Often,Completely,"Yes, sometimes",Often,Rarely,Slightly,Rarely,Somewhat important,Always,Very important,Sometimes,"I prioritize convenience and prefer quick, hassle-free shopping experiences. (Seamless Shoppers)",I increase my spending slightly but remain cautious.,I wait for reviews before making a purchase.,2,Product variety and staff knowledge.,Personalized engraving for gifts.,Extend loyalty tiers with birthday perks.
888,Dubai,31-35,Female,400–800 Dhs,Health,Every 3 months,No significant change in income,Extremely important,Often,Not at all,"Yes, sometimes",Sometimes,Always,Moderately,Often,Extremely important,Rarely,Neutral,Never,I prefer trusted brands and products that are familiar and reliable. (Dependables),I increase my spending slightly but remain cautious.,I get excited and want to try them immediately.,3,Fast checkout and loyalty rewards.,Arabic oud blends with lighter sillage.,More samples with purchases.
889,Abu Dhabi,26-30,Male,400–800 Dhs,Unemployed,Monthly,A change in employment status,Neutral,Rarely,Very much,"Yes, sometimes",Rarely,Always,Not at all,Always,Very important,Sometimes,Not important at all,Sometimes,"I spend more on perfumes and cosmetics after a rise in income or financial improvements, as a sign of reaching a new status. (Ascent Beautifiers)","I spend more on luxury items, including perfumes and beauty products.",I only buy if the product is aligned with my preferences and budget.,3,Authentic brands and easy returns.,More niche fragrance houses.,Add WhatsApp virtual consultations.
890,Abu Dhabi,26-30,Male,400–800 Dhs,General Employee,In Eids and seasons,A sudden increase in income,Very important,Sometimes,Completely,"Yes, sometimes",Often,Sometimes,Not at all,Sometimes,Somewhat important,Sometimes,Extremely important,Always,I look for unique or exotic fragrances and products that stand out and feel rare. (Exotica Seekers),I save most of my income and spend cautiously.,I only buy if the product is aligned with my preferences and budget.,2,Authentic brands and easy returns.,Refill options and eco-friendly packaging.,Add WhatsApp virtual consultations.
891,Abu Dhabi,31-35,Female,800 Dhs and above,Customer Service and Sales,Yearly,No significant change in income,Neutral,Sometimes,Very much,"Yes, sometimes",Sometimes,Rarely,Slightly,Sometimes,Not important at all,Rarely,Somewhat important,Often,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I only buy if the product is aligned with my preferences and budget.,2,Product variety and staff knowledge.,Arabic oud blends with lighter sillage.,Extend loyalty tiers with birthday perks.
892,Sharjah,21-25,Male,400–800 Dhs,Education,Every 3 months,A change in employment status,Very important,Sometimes,Very much,"Yes, sometimes",Sometimes,Sometimes,Not at all,Often,Somewhat important,Never,Somewhat important,Always,"I enjoy exploring niche, artisanal, or unique products that showcase craftsmanship. (Refined Connoisseurs)","I spend more on luxury items, including perfumes and beauty products.",I get excited and want to try them immediately.,3,Product variety and staff knowledge.,More niche fragrance houses.,Offer student and family bundles.
893,Sharjah,36–40,Male,400–800 Dhs,Self-employed,Every 3 months,No significant change in income,Not important at all,Never,Slightly,"Yes, sometimes",Often,Always,Completely,Often,Somewhat important,Often,Extremely important,Rarely,"I appreciate luxury and am willing to invest in premium, high-quality products. (Luxe Enthusiasts)",I increase my spending slightly but remain cautious.,I rarely pay attention to new launches.,5,Fast checkout and loyalty rewards.,Personalized engraving for gifts.,Add WhatsApp virtual consultations.
